ds,yhat,yhat_lower,yhat_upper
2018-01-07,57.914496147786,50.68831179222909,65.00119943073041
2018-01-14,54.03729619611837,47.30218636545325,60.73954354335656
2018-01-21,52.33007152937526,45.19352773863868,59.480649224843134
2018-01-28,54.02094806070106,46.4334468764645,60.80668361606916
2018-02-04,56.41681467532492,48.92970588048278,63.37154440966226
2018-02-11,56.811328302840224,49.37356471073495,63.055598674023855
2018-02-18,55.77339347861464,48.90815038477275,62.65647624954383
2018-02-25,55.93284399479445,48.31636906557619,62.93318231168188
2018-03-04,58.22813830346254,50.87740457153604,65.0412514704171
2018-03-11,60.57281462834858,52.98703244166433,66.9230679536091
2018-03-18,60.52304196982404,53.63202770690254,67.35294371578748
2018-03-25,58.36866108215041,51.8643911614104,65.35656028939471
2018-04-01,56.69697824470658,49.73021771785359,63.45944186981569
2018-04-08,57.12947144568998,50.10208490166615,64.15424526524556
2018-04-15,58.4849246076651,51.84051495199856,65.23348064163314
2018-04-22,58.60276115098999,51.68453175523084,65.69097270817169
2018-04-29,57.2670236259759,50.22402200707828,64.25503360312479
2018-05-06,56.35956041810481,49.42060634863852,63.75997921940794
2018-05-13,57.12913166781002,50.00955663378516,64.51423408361205
2018-05-20,58.2894049604746,50.99800756735287,65.38276290754371
2018-05-27,57.55770114282405,50.55247700881403,64.51637904037918
2018-06-03,54.69422050382444,47.824687592175735,61.772673219421904
2018-06-10,52.055624668046086,45.27128583240586,59.36175337189615
2018-06-17,51.81712758376071,44.503035486397415,59.14579735898656
2018-06-24,53.29826568110321,46.50222244661508,60.42753077893118
2018-07-01,53.74010785399486,46.77329539678452,61.04645360393328
2018-07-08,51.5526334680266,45.32239944940461,58.97001812949021
2018-07-15,48.02260343420892,40.99504295997319,55.74586067069645
2018-07-22,45.53517434125911,38.54054634097108,52.01123175697513
2018-07-29,44.75091197302177,37.88155487621775,51.93223309849547
2018-08-05,44.26522467178703,37.596225005086445,52.34314829695362
2018-08-12,42.8535157383879,35.6513491900823,49.51474091886392
2018-08-19,41.09920509629818,34.42363010885652,48.471091780616575
2018-08-26,40.2968688073546,33.50808692137692,47.52771356327437
2018-09-02,40.37168150590837,33.66316763114871,47.602827411273935
2018-09-09,39.88860750116946,33.15795261016184,47.15075730560343
2018-09-16,38.23484772626592,30.751671166415804,44.86220368139053
2018-09-23,36.85334236142981,29.709651967210835,44.004364387059226
2018-09-30,37.501703992423,30.395859523279672,44.58011817312666
2018-10-07,39.64531988388476,32.87709072914991,46.28637493929679
2018-10-14,40.672035834152,33.706890956793615,47.25210558639619
2018-10-21,39.149760110396656,32.15325261278943,45.55251892334776
2018-10-28,37.1030158578368,30.28992091478905,43.94929702104903
2018-11-04,38.01273975927184,30.969046698184265,45.333863403853975
2018-11-11,42.53096026033164,35.092343845728394,49.37007032989071
2018-11-18,47.19028447935423,40.50251466000363,54.59762560262075
2018-11-25,48.14493662838563,40.617295771691694,54.71525733809482
2018-12-02,45.79238080507707,39.2088309084661,52.64092746225418
2018-12-09,44.64762327760768,37.88034823075476,51.66221996854456
2018-12-16,48.26903012358585,40.74276028702346,55.706255926084005
2018-12-23,55.018644449047045,47.89471151556607,61.7569524110709
2018-12-30,59.66127743888439,52.39077243775881,66.42802428921388
2019-01-06,59.02116669927775,51.58826253672146,66.07203277576279
2019-01-13,55.20566658513626,48.08401786279399,62.48812089512774
2019-01-20,52.88298131602608,46.28351580041485,59.99837091669375
2019-01-27,54.08735634799194,47.06511546156776,61.16763128110795
2019-02-03,56.61854537885649,49.18340349471074,63.75891173885668
2019-02-10,57.43518466990242,50.19585399489048,64.31442039900425
2019-02-17,56.471255579737885,49.16767955017418,63.43917519851569
2019-02-24,56.25645990863531,49.1737430869626,63.07174229307205
2019-03-03,58.25313584669427,50.816255742001495,65.13738465803404
2019-03-10,60.8102709095238,53.78801451449533,67.69882610200784
2019-03-17,61.26522269188887,54.17525390690853,68.30024490423507
2019-03-24,59.32645097174205,52.67868030415481,66.03803600025398
2019-03-31,57.37774996013338,50.22923311397443,64.31854325171454
2019-04-07,57.44490427076767,50.59029922912031,64.69629839718002
2019-04-14,58.810247220256,52.55460712969079,65.44569412062445
2019-04-21,59.24566377655796,52.01920086042525,65.83293523631255
2019-04-28,58.06510441150814,51.19879349678986,65.02734724583406
2019-05-05,56.92985838764914,50.13409156958125,63.92865457505588
2019-05-12,57.42121604967777,50.23338306656113,64.31351844818572
2019-05-19,58.69319184050592,51.8136863370701,65.67004556981719
2019-05-26,58.40586106267559,51.46211939993955,65.42160081415832
2019-06-02,55.80213181147253,48.74601958730346,62.7975600908035
2019-06-09,52.91029886677345,46.02413801983648,59.51226942225188
2019-06-16,52.19761782410398,44.82815917735332,59.41990535908558
2019-06-23,53.5523314424308,46.849339247095706,60.61529575698004
2019-06-30,54.37186034208351,47.42726872158177,61.27691489656159
2019-07-07,52.637106201538,45.34618431560279,59.066547588909614
2019-07-14,49.16093008843807,42.09401771897133,56.26558691273893
2019-07-21,46.364294901887206,39.19418695511556,53.34283780518725
2019-07-28,45.34057053632665,38.14024614179978,52.21457740765997
2019-08-04,44.9312786790635,37.85329918118681,51.64103402308875
2019-08-11,43.69526185887952,36.03465979878725,50.3293784994272
2019-08-18,41.89632356852052,35.41489338748092,49.19762948466577
2019-08-25,40.87240014022726,33.94518736719262,47.9432405342985
2019-09-01,40.87902748196771,33.69202450320384,48.24750919210493
2019-09-08,40.59554884790828,33.17575874730902,47.41665403861007
2019-09-15,39.09778605460284,31.854625826874788,45.90470262476566
2019-09-22,37.5072712749292,30.62710720231072,44.17267081348304
2019-09-29,37.74570231354427,31.28245027363383,44.78263737406592
2019-10-06,39.78668975192492,33.233856673427184,46.964045624883205
2019-10-13,41.2009070359826,34.3435000852799,48.108216385896704
2019-10-20,40.08508384372224,32.89800808015731,47.20346925263713
2019-10-27,37.86167613796238,31.01688299619418,44.79165488396942
