ds,yhat,yhat_lower,yhat_upper
2018-01-07,57.914496147786,50.5780199824368,64.7134480921633
2018-01-14,54.03729619611837,46.91007160003164,61.37129926224562
2018-01-21,52.33007152937526,45.333431153577976,59.30516916459949
2018-01-28,54.02094806070106,47.13134565618692,61.12733148537136
2018-02-04,56.41681467532492,49.26917173133931,63.03418002781827
2018-02-11,56.811328302840224,49.526076943723744,64.10148385925879
2018-02-18,55.77339347861464,48.58476509829958,62.19603962690952
2018-02-25,55.93284399479445,49.063796958861104,62.97045105251626
2018-03-04,58.22813830346254,51.59880314431418,65.25386780238476
2018-03-11,60.57281462834858,54.37800215977721,67.93367013778163
2018-03-18,60.52304196982404,53.15346706284184,67.17121124404389
2018-03-25,58.36866108215041,51.123484030963695,65.6502857309055
2018-04-01,56.69697824470658,50.22056496991381,64.31284002738828
2018-04-08,57.12947144568998,49.76020713763237,63.75468748110927
2018-04-15,58.4849246076651,51.84594554579453,65.59745956130752
2018-04-22,58.60276115098999,51.86952943248181,65.92590639163767
2018-04-29,57.2670236259759,50.53050852932733,64.88799790130761
2018-05-06,56.35956041810481,49.38505195687647,63.353213907086605
2018-05-13,57.12913166781002,49.9183542849971,64.03701734578438
2018-05-20,58.2894049604746,51.20328322191724,65.89964647636963
2018-05-27,57.55770114282405,50.99144745652611,64.6205277292914
2018-06-03,54.69422050382444,48.20777477311081,61.46897412790515
2018-06-10,52.055624668046086,45.07811473774473,59.01429515198185
2018-06-17,51.81712758376071,44.76532934109728,58.67737403885946
2018-06-24,53.29826568110321,46.22077274869887,60.28191711243004
2018-07-01,53.74010785399486,47.27773653181168,60.73113939419589
2018-07-08,51.5526334680266,44.50391256399892,58.27526623120316
2018-07-15,48.02260343420892,41.54369102155916,55.13982365404912
2018-07-22,45.53517434125911,38.38541292946808,52.3179016734825
2018-07-29,44.75091197302177,37.67997763034069,51.70198942119527
2018-08-05,44.26522467178703,37.78459634086253,50.73448682539891
2018-08-12,42.8535157383879,35.7161650107767,49.80474065737807
2018-08-19,41.09920509629818,34.23153365826914,48.2670372464821
2018-08-26,40.2968688073546,33.647981510057086,47.39671774329965
2018-09-02,40.37168150590837,33.30884808636605,47.51304919752524
2018-09-09,39.88860750116946,33.07848096261637,46.63609775772236
2018-09-16,38.23484772626592,31.315321358173637,45.39518074427964
2018-09-23,36.85334236142981,29.857047349556574,43.594617366355095
2018-09-30,37.501703992423,30.666620272403637,44.67315407979948
2018-10-07,39.64531988388476,32.228829911252134,46.70334124310669
2018-10-14,40.672035834152,33.27006478061582,47.54983019347941
2018-10-21,39.149760110396656,32.318016562654535,46.06235357145088
2018-10-28,37.1030158578368,30.53939017113761,44.48968185233156
2018-11-04,38.01273975927184,31.36120755073564,45.22656862983509
2018-11-11,42.53096026033164,35.78031454983438,49.1299644929547
2018-11-18,47.19028447935423,39.80290556908027,54.28715450353724
2018-11-25,48.14493662838563,41.13483275508117,55.26442485558838
2018-12-02,45.79238080507707,38.87437483803535,52.3300481977661
2018-12-09,44.64762327760768,37.6450978450662,51.71158133618125
2018-12-16,48.26903012358585,41.727996600540685,55.08560462628559
2018-12-23,55.018644449047045,47.64267011637314,62.109862979926696
2018-12-30,59.66127743888439,52.910357656969055,66.58301969985226
2019-01-06,59.02116669927775,52.241763178398216,65.96843093133587
2019-01-13,55.20566658513626,48.507977550563446,62.662944663377246
2019-01-20,52.88298131602608,45.96826370110308,59.88133621942609
2019-01-27,54.08735634799194,46.60691555758063,60.485593896598765
2019-02-03,56.61854537885649,49.42530504935921,63.5401222514975
2019-02-10,57.43518466990242,50.80457944917572,64.28516443403525
2019-02-17,56.471255579737885,49.8406139389039,63.73303954221433
2019-02-24,56.25645990863531,48.79141942059686,62.55074186550239
2019-03-03,58.25313584669427,51.23430667153535,65.14291914846324
2019-03-10,60.8102709095238,54.182869778077766,68.01229792862097
2019-03-17,61.26522269188887,54.39472741939565,68.71355613360724
2019-03-24,59.32645097174205,52.742738851140295,66.5799117141538
2019-03-31,57.37774996013338,50.25962513326714,64.25716101820421
2019-04-07,57.44490427076767,50.81248338105118,63.9646123050783
2019-04-14,58.810247220256,52.01418778323546,65.99017258947417
2019-04-21,59.24566377655796,51.95064613096787,65.76272625020141
2019-04-28,58.06510441150814,50.82315633274151,64.75069720602414
2019-05-05,56.92985838764914,49.93535112974472,64.09828909677051
2019-05-12,57.42121604967777,50.57055316100863,64.47594072090723
2019-05-19,58.69319184050592,52.19368205170456,65.60067048348353
2019-05-26,58.40586106267559,51.14473255858044,65.0800615665307
2019-06-02,55.80213181147253,48.98132426252896,62.90983350271417
2019-06-09,52.91029886677345,46.056026106389815,59.50691274362112
2019-06-16,52.19761782410398,45.2824202748248,59.93275874136088
2019-06-23,53.5523314424308,45.86855227055924,60.78300154287051
2019-06-30,54.37186034208351,47.60255938184739,61.53999377319266
2019-07-07,52.637106201538,45.58148313112683,59.302191676571766
2019-07-14,49.16093008843807,42.371218117673365,55.71312832702874
2019-07-21,46.364294901887206,39.67428734380192,53.553795978131646
2019-07-28,45.34057053632665,38.17201594190471,52.17306258283626
2019-08-04,44.9312786790635,38.12898995870453,51.847810733542985
2019-08-11,43.69526185887952,36.92697372836476,50.54293864236147
2019-08-18,41.89632356852052,35.30378042217629,48.59986213555736
2019-08-25,40.87240014022726,34.2591379414187,48.00952853988155
2019-09-01,40.87902748196771,33.90130202570444,48.0027341253619
2019-09-08,40.59554884790828,33.66172178437546,47.50557815747135
2019-09-15,39.09778605460284,31.887822137436984,46.61726674261953
